,GISJOIN,TL_GEO_ID,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,NAME_E,AQSQE001,AQSQE002,AQSQE003,AQUME001,AQUSE001,NAME_M,AQSQM001,AQSQM002,AQSQM003,AQUMM001,AQUSM001
286,G36000500001000,360050001000,2018-2022,NY,,,New York,36,Bronx County,5,,,100,0,"Block Group 0, Census Tract 1, Bronx County, New York",0,0,0,,,"Block Group 0, Census Tract 1, Bronx County, New York",13,13,13,,
287,G36000500001001,360050001001,2018-2022,NY,,,New York,36,Bronx County,5,,,100,1,"Block Group 1, Census Tract 1, Bronx County, New York",0,0,0,,,"Block Group 1, Census Tract 1, Bronx County, New York",13,13,13,,
288,G36000500002000,360050002000,2018-2022,NY,,,New York,36,Bronx County,5,,,200,0,"Block Group 0, Census Tract 2, Bronx County, New York",0,0,0,,,"Block Group 0, Census Tract 2, Bronx County, New York",13,13,13,,
289,G36000500002001,360050002001,2018-2022,NY,,,New York,36,Bronx County,5,,,200,1,"Block Group 1, Census Tract 2, Bronx County, New York",317,218,99,1604.0,2104.0,"Block Group 1, Census Tract 2, Bronx County, New York",106,82,79,874.0,1452.0
290,G36000500002002,360050002002,2018-2022,NY,,,New York,36,Bronx County,5,,,200,2,"Block Group 2, Census Tract 2, Bronx County, New York",700,321,379,1470.0,1899.0,"Block Group 2, Census Tract 2, Bronx County, New York",256,112,245,341.0,642.0
291,G36000500002003,360050002003,2018-2022,NY,,,New York,36,Bronx County,5,,,200,3,"Block Group 3, Census Tract 2, Bronx County, New York",408,319,89,1815.0,2085.0,"Block Group 3, Census Tract 2, Bronx County, New York",109,100,59,138.0,389.0
292,G36000500004000,360050004000,2018-2022,NY,,,New York,36,Bronx County,5,,,400,0,"Block Group 0, Census Tract 4, Bronx County, New York",0,0,0,,,"Block Group 0, Census Tract 4, Bronx County, New York",13,13,13,,
293,G36000500004001,360050004001,2018-2022,NY,,,New York,36,Bronx County,5,,,400,1,"Block Group 1, Census Tract 4, Bronx County, New York",303,185,118,,,"Block Group 1, Census Tract 4, Bronx County, New York",157,120,150,,
294,G36000500004002,360050004002,2018-2022,NY,,,New York,36,Bronx County,5,,,400,2,"Block Group 2, Census Tract 4, Bronx County, New York",352,136,216,1773.0,2050.0,"Block Group 2, Census Tract 4, Bronx County, New York",194,82,178,105.0,270.0
295,G36000500004003,360050004003,2018-2022,NY,,,New York,36,Bronx County,5,,,400,3,"Block Group 3, Census Tract 4, Bronx County, New York",1385,1011,374,,1218.0,"Block Group 3, Census Tract 4, Bronx County, New York",298,228,286,,751.0
296,G36000500004004,360050004004,2018-2022,NY,,,New York,36,Bronx County,5,,,400,4,"Block Group 4, Census Tract 4, Bronx County, New York",269,77,192,1664.0,1851.0,"Block Group 4, Census Tract 4, Bronx County, New York",141,63,151,312.0,612.0
297,G36000500016001,360050016001,2018-2022,NY,,,New York,36,Bronx County,5,,,1600,1,"Block Group 1, Census Tract 16, Bronx County, New York",1019,7,1012,1203.0,1270.0,"Block Group 1, Census Tract 16, Bronx County, New York",263,12,264,444.0,443.0
298,G36000500016002,360050016002,2018-2022,NY,,,New York,36,Bronx County,5,,,1600,2,"Block Group 2, Census Tract 16, Bronx County, New York",264,247,17,,,"Block Group 2, Census Tract 16, Bronx County, New York",143,141,22,,
299,G36000500016003,360050016003,2018-2022,NY,,,New York,36,Bronx County,5,,,1600,3,"Block Group 3, Census Tract 16, Bronx County, New York",529,0,529,899.0,1085.0,"Block Group 3, Census Tract 16, Bronx County, New York",144,13,144,177.0,84.0
300,G36000500016004,360050016004,2018-2022,NY,,,New York,36,Bronx County,5,,,1600,4,"Block Group 4, Census Tract 16, Bronx County, New York",393,200,193,,,"Block Group 4, Census Tract 16, Bronx County, New York",102,89,84,,
301,G36000500019011,360050019011,2018-2022,NY,,,New York,36,Bronx County,5,,,1901,1,"Block Group 1, Census Tract 19.01, Bronx County, New York",940,0,940,1427.0,1642.0,"Block Group 1, Census Tract 19.01, Bronx County, New York",108,13,108,115.0,198.0
302,G36000500019021,360050019021,2018-2022,NY,,,New York,36,Bronx County,5,,,1902,1,"Block Group 1, Census Tract 19.02, Bronx County, New York",468,71,397,1805.0,1984.0,"Block Group 1, Census Tract 19.02, Bronx County, New York",90,42,98,552.0,322.0
303,G36000500019031,360050019031,2018-2022,NY,,,New York,36,Bronx County,5,,,1903,1,"Block Group 1, Census Tract 19.03, Bronx County, New York",0,0,0,,,"Block Group 1, Census Tract 19.03, Bronx County, New York",13,13,13,,
304,G36000500019032,360050019032,2018-2022,NY,,,New York,36,Bronx County,5,,,1903,2,"Block Group 2, Census Tract 19.03, Bronx County, New York",0,0,0,,,"Block Group 2, Census Tract 19.03, Bronx County, New York",13,13,13,,
305,G36000500019040,360050019040,2018-2022,NY,,,New York,36,Bronx County,5,,,1904,0,"Block Group 0, Census Tract 19.04, Bronx County, New York",0,0,0,,,"Block Group 0, Census Tract 19.04, Bronx County, New York",13,13,13,,
306,G36000500019041,360050019041,2018-2022,NY,,,New York,36,Bronx County,5,,,1904,1,"Block Group 1, Census Tract 19.04, Bronx County, New York",0,0,0,,,"Block Group 1, Census Tract 19.04, Bronx County, New York",13,13,13,,
