site_ID,site_name,latitude_numeric,longitude_numeric,blurred_coordinates,topography_m,freshwater_depth_m,realm_1,realm_2,biome_1,biome_2,functional_group_1,functional_group_2,contributor_comments
1001,ME-PF1,-14.444,49.832,TRUE,292,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1002,ME-PF2,-14.445,49.829,TRUE,241,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1003,ME-PF3,-14.442,49.826,TRUE,344,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1004,ME-PF4,-14.448,49.822,TRUE,307,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1005,ME-PF5,-14.446,49.822,TRUE,292,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1006,MT-PF1,-14.44,49.778,TRUE,454,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1007,MT-PF2,-14.447,49.786,TRUE,348,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1008,MT-PF3,-14.434,49.772,TRUE,580,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1009,MT-PF4,-14.435,49.767,TRUE,632,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1010,MT-PF5,-14.436,49.763,TRUE,701,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Old-growth-forest; coordinates rounded to 3 decimal places
1011,V13-FF,-14.585,49.619,TRUE,609,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Heavily used forest fragment; coordinates rounded to 3 decimal places
1012,V13-HF,-14.583,49.624,TRUE,536,,Terrestrial,"",Intensive land-use biome,"",Derived semi-natural pastures and old fields,"",Herbaceous fallow; coordinates rounded to 3 decimal places
1013,V13-RP,-14.592,49.632,TRUE,488,,Terrestrial,"",Intensive land-use biome,"",Annual croplands,"",Rice paddy (Terrestrial); coordinates rounded to 3 decimal places
1014,V13-VH,-14.575,49.641,TRUE,819,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Forest-derived vanilla agroforest; coordinates rounded to 3 decimal places
1015,V13-VL,-14.569,49.63,TRUE,644,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1016,V13-VM,-14.588,49.635,TRUE,506,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1017,V13-WF,-14.597,49.628,TRUE,520,,Terrestrial,"",Intensive land-use biome,"",Derived semi-natural pastures and old fields,"",Woody fallow; coordinates rounded to 3 decimal places
1018,V2-FF,-14.098,50.055,TRUE,81,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Heavily used forest fragment; coordinates rounded to 3 decimal places
1019,V2-HF,-14.093,50.044,TRUE,91,,Terrestrial,"",Intensive land-use biome,"",Derived semi-natural pastures and old fields,"",Herbaceous fallow; coordinates rounded to 3 decimal places
1020,V2-RP,-14.085,50.065,TRUE,19,,Terrestrial,"",Intensive land-use biome,"",Annual croplands,"",Rice paddy (Terrestrial); coordinates rounded to 3 decimal places
1021,V2-VH,-14.1,50.051,TRUE,75,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1022,V2-VL,-14.09,50.053,TRUE,69,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1023,V2-VM,-14.099,50.058,TRUE,38,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1024,V2-WF,-14.092,50.067,TRUE,31,,Terrestrial,"",Intensive land-use biome,"",Derived semi-natural pastures and old fields,"",Woody fallow; coordinates rounded to 3 decimal places
1025,V24-FF,-14.647,49.71,TRUE,557,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Heavily used forest fragment; coordinates rounded to 3 decimal places
1026,V24-HF,-14.631,49.728,TRUE,518,,Terrestrial,"",Intensive land-use biome,"",Derived semi-natural pastures and old fields,"",Herbaceous fallow; coordinates rounded to 3 decimal places
1027,V24-RP,-14.629,49.723,TRUE,351,,Terrestrial,"",Intensive land-use biome,"",Annual croplands,"",Rice paddy (Terrestrial); coordinates rounded to 3 decimal places
1028,V24-VH,-14.639,49.715,TRUE,352,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1029,V24-VL,-14.633,49.726,TRUE,484,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1030,V24-VM,-14.618,49.724,TRUE,303,,Terrestrial,"",Intensive land-use biome,"",Plantations,"",Fallow-derived vanilla agroforest; coordinates rounded to 3 decimal places
1031,V24-WF,-14.646,49.715,TRUE,441,,Terrestrial,"",Intensive land-use biome,"",Derived semi-natural pastures and old fields,"",Woody fallow; coordinates rounded to 3 decimal places
1032,V25-FF,-13.993,50.067,TRUE,54,,Terrestrial,"",Tropical-subtropical forests biome,"",Tropical/Subtropical lowland rainforests,"",Heavily used forest fragment; coordinates rounded to 3 decimal places
1033,V25-HF,-13.985,50.106,TRUE,10,,Terrestrial,"",Intensive land-use biome,"",Derived semi-natural pastures and old fields,"",Herbaceous fallow; coordinates rounded to 3 decimal places
1034,V25-RP,-13.983,50.095,TRUE,7,,Terrestrial,"",Intensive land-use biome,"",Annual croplands,"",Rice paddy (Terrestrial); coordinates rounded to 3 decimal places
