owner,cable_count
Google,34
Orange,29
Sparkle,22
BT,22
Vodafone,20
Meta,19
Tata Communications,19
Singtel,19
Telekom Malaysia,19
Liberty Networks,18
Telkom Indonesia,18
Telefonica,17
AT&T,17
China Telecom,16
Chunghwa Telecom,16
NTT,15
Telstra,15
Telecom Egypt,14
XLSmart,14
China Mobile,13
China Unicom,13
GlobalConnect,13
EXA Infrastructure,12
Verizon,12
Arelion,12
e&,11
KT,10
Softbank,10
Moratelindo,10
Telxius,10
center3,9
KDDI,9
PCCW,9
National Telecom,9
Altice Portugal,9
Zain Omantel International,8
Microsoft,8
PLDT,8
Bharti Airtel,8
Globe Telecom,8
Telin,8
Djibouti Telecom,7
GCI Communication Corp,7
Indosat Ooredoo,7
Mauritius Telecom,7
Rostelecom,7
SETAR,6
Zayo,6
TIME dotCom,6
Viettel Corporation,6
Colt,6
TDC Group,6
Hawaiian Telcom,6
Triasmitra,6
Entidade Administradora da Faixa (EAF),6
Bayobab,5
Grid Telecom,5
Ooredoo,5
Amazon Web Services,5
Maroc Telecom,5
Sri Lanka Telecom,5
Cyta,5
euNetworks,5
Dhiraagu,5
Liquid Intelligent Technologies,5
Telkom South Africa,5
FLAG,5
OPT,5
OPT French Polynesia,5
Camtel,5
TeleYemen,4
Mobily,4
Pakistan Telecommunications Company Ltd.,4
Syrian Telecommunications Establishment,4
América Móvil (Claro),4
Bell Canada,4
Starhub,4
SUBCO,4
Reliance Jio Infocomm,4
VNPT International,4
Unified National Networks (UNN),4
Vocus Communications,4
Lebanese Ministry of Telecommunications,4
Bharat Sanchar Nigam Ltd. (BSNL),4
Antel Uruguay,4
Okinawa Prefecture,4
Ooredoo Maldives,4
Libya International Telecommunications Company,4
Tampnet,4
Bulk Infrastructure,4
Lightstorm,4
Whidbey Telecom,4
Orange Cote d’Ivoire,3
Inc.,3
United Telecommunication Services (UTS),3
Claro Dominicana (Codetel),3
LG Uplus,3
Bahamas Telecommunications Company,3
CANTV,3
Spark New Zealand,3
Comores Telecom,3
Telenor,3
Cabo Verde Telecom (CVT),3
Deutsche Telekom,3
Shefa,3
Digicel,3
GITGE (Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial),3
Federated States of Micronesia Telecommunications Cable Corporation (FSMTCC),3
PNG DataCo Limited,3
Farice,3
Telkom Kenya,3
Elisa Corporation,3
Sudatel,3
Tamaani Internet,3
Telia Eesti (formerly Eesti Telekom,3
EMT,3
Elion),3
Cordova Telecom Cooperative,3
Grupo Gtd,3
V.tal,3
Sure,3
BW Digital,3
Australia’s Academic and Research Network (AARNET),3
Telmex,3
Bandwidth and Cloud Services (BCS),3
Cirion Technologies,3
Angola Cables,3
Algerie Telecom,3
Indonesian Government,3
Cogent,3
Telecom Namibia,3
Bangladesh Submarine Cable Company Limited (BSCCL),3
Transworld,3
Southern Cross Cable Network,3
Hydro-Québec,3
Telus,3
WIOCC,2
Tokyo Metropolitan Government,2
Alaska Communications,2
Solomon Island Submarine Cable Company,2
ALBtelecom,2
Hrvatski Telekom,2
Canalink,2
Republic of Gabon,2
Sonatel,2
Rogers Communications,2
Antelecom,2
Exelera,2
HKBN,2
Singtel Optus,2
One NZ,2
Belize Telemedia,2
Hondutel,2
Space Norway,2
OTEGLOBE,2
Eastern Telecom,2
DITO Telecommunity,2
Matrix NAP Info,2
Arteria,2
Dreamline,2
IslaLink,2
Super Sistem (PT Super Sistem Data),2
Dialog Axiata,2
Embratel,2
A1 Telekom Austria,2
Telconet,2
CW Jamaica,2
Converge ICT,2
Crosslake Fibre,2
Tele2,2
SK Broadband,2
Telma (Telecom Malagasy),2
Vodacom DRC,2
Guyana Telephone and Telegraph (GT&T),2
Eastern Light,2
EllaLink,2
EMC Subsea Cable Company Limited,2
Energinet,2
Miranda Media,2
du,2
Bahrain Telecommunications Company (Batelco),2
Kuwait Ministry of Communications,2
Société Réunionnaise du Radiotéléphone,2
GO plc,2
Tusass A/S,2
U.S. Government,2
Gulf Bridge International,2
Tunisia Telecom,2
Marshall Islands Telecommunications Authority,2
TTK,2
Superloop,2
Stadtwerke Konstanz,2
Telecommunication Infrastructure Company of Iran,2
123NET,2
