id,name,rfs_year,status,length,ownership_category,big_tech_owners,owners,has_google,has_meta,has_microsoft,has_amazon
anjana,Anjana,2026.0,In service,"7,121 km",big_tech,Meta,Meta,False,True,False,False
bosun,Bosun,2029.0,Planned,,big_tech,Google,Google,True,False,False,False
bulikula,Bulikula,2026.0,Planned,"21,600 km",big_tech,Google,Google,True,False,False,False
curie,Curie,2020.0,In service,"10,476 km",big_tech,Google,Google,True,False,False,False
dhivaru,Dhivaru,2028.0,Planned,,big_tech,Google,Google,True,False,False,False
dunant,Dunant,2021.0,In service,"6,400 km",big_tech,Google,Google,True,False,False,False
echo,Echo,2025.0,In service,"17,184 km",big_tech,"Google, Meta","Google, Meta",True,True,False,False
equiano,Equiano,2023.0,In service,"15,000 km",big_tech,Google,Google,True,False,False,False
fastnet,Fastnet,2028.0,Planned,,big_tech,Amazon Web Services,Amazon Web Services,False,False,False,True
firmina,Firmina,2025.0,In service,"14,517 km",big_tech,Google,Google,True,False,False,False
grace-hopper,Grace Hopper,2022.0,In service,"7,191 km",big_tech,Google,Google,True,False,False,False
halaihai,Halaihai,2029.0,Planned,"17,483 km",big_tech,Google,Google,True,False,False,False
honomoana,Honomoana,2026.0,Planned,"15,215 km",big_tech,Google,Google,True,False,False,False
junior,Junior,2018.0,In service,390 km,big_tech,Google,Google,True,False,False,False
nuvem,Nuvem,2026.0,Planned,"7,194 km",big_tech,Google,Google,True,False,False,False
orca,ORCA,2027.0,Planned,"12,482 km",big_tech,Meta,Meta,False,True,False,False
pacific-light-cable-network-plcn,Pacific Light Cable Network (PLCN),2022.0,In service,"11,806 km",big_tech,"Google, Meta","Google, Meta",True,True,False,False
proa,Proa,2026.0,Planned,"2,891 km",big_tech,Google,Google,True,False,False,False
project-waterworth,Project Waterworth,,Planned,"50,000 km",big_tech,Meta,Meta,False,True,False,False
sol,Sol,2028.0,Planned,"8,153 km",big_tech,Google,Google,True,False,False,False
tpu,TPU,2026.0,In service,"13,470 km",big_tech,Google,Google,True,False,False,False
tabua,Tabua,2026.0,Planned,,big_tech,Google,Google,True,False,False,False
taihei,Taihei,2029.0,Planned,"7,000 km",big_tech,Google,Google,True,False,False,False
talaylink,TalayLink,2028.0,Planned,,big_tech,Google,Google,True,False,False,False
topaz,Topaz,2023.0,In service,,big_tech,Google,Google,True,False,False,False
umoja,Umoja,2028.0,Planned,,big_tech,Google,Google,True,False,False,False
2africa,2Africa,2024.0,In service,"45,000 km",hybrid,Meta,"Bayobab, China Mobile, Meta, Orange, Telecom Egypt, Vodafone, WIOCC, center3",False,True,False,False
amitie,Amitie,2023.0,In service,"6,792 km",hybrid,"Meta, Microsoft","EXA Infrastructure, Meta, Microsoft, Orange, Vodafone",False,True,True,False
apricot,Apricot,2025.0,In service,"11,972 km",hybrid,"Google, Meta","Chunghwa Telecom, Google, Meta, NTT, PLDT",True,True,False,False
asia-pacific-gateway-apg,Asia Pacific Gateway (APG),2016.0,In service,"10,400 km",hybrid,Meta,"China Mobile, China Telecom, China Unicom, Chunghwa Telecom, KT, LG Uplus, Meta, NTT, National Telecom, Starhub, TIME dotCom, VNPT International, Viettel Corporation",False,True,False,False
asia-united-gateway-east-aug-east,Asia United Gateway East (AUG East),2029.0,Planned,"8,900 km",hybrid,"Amazon Web Services, Microsoft","Amazon Web Services, Arteria, Chunghwa Telecom, Dreamline, Globe Telecom, Microsoft, Singtel, Telekom Malaysia, Unified National Networks (UNN)",False,False,True,True
beaufort,Beaufort,2027.0,Planned,158 km,hybrid,"Amazon Web Services, Microsoft","Amazon Web Services, Microsoft, Vodafone",False,False,True,True
bifrost,Bifrost,2025.0,In service,"19,888 km",hybrid,Meta,"Keppel T&T, Meta, Telin",False,True,False,False
blue,Blue,2023.0,In service,"5,055 km",hybrid,Google,"Google, Sparkle, Zain Omantel International",True,False,False,False
candle,Candle,2028.0,Planned,"8,000 km",hybrid,Meta,"Globe Telecom, IPS, Inc., Meta, Softbank, Telekom Malaysia, XLSmart",False,True,False,False
daraja,Daraja,2026.0,Planned,"4,108 km",hybrid,Meta,"Meta, Safaricom",False,True,False,False
faster,FASTER,2016.0,In service,"11,629 km",hybrid,Google,"China Mobile, China Telecom, Google, KDDI, Singtel, TIME dotCom",True,False,False,False
havfrueaec-2,Havfrue/AEC-2,2020.0,In service,"7,650 km",hybrid,"Google, Meta","Bulk Infrastructure, EXA Infrastructure, Google, Meta",True,True,False,False
