collection_ID,name,ecoSound-web_link,primary_contributors,secondary_contributors,date_added,URL_open_recordings,URL_project,DOI_publication,core_realm_IUCN,medium,locality,spatial_selection,temporal_exclusion,contributor_comments
101,Diversity Turn,https://ecosound-web.de/ecosound_web/collection/show/101,Dominic A Martin,"Holger Kreft,Saskia Dröge,Rouvah Andriafanomezantsoa,Eric Rakotomalala",2021-08-26,none,https://www.uni-goettingen.de/en/529181.html,10.1016/j.ecolind.2020.106929,Terrestrial,air,"","",none,recorder: https://doi.org/10.1016/j.ecolind.2020.106929
103,EFForTS Berbak,https://ecosound-web.de/ecosound_web/collection/show/103,Kevin FA Darras,Dedi Rahman,2021-08-26,https://ecosound-web.de/ecosound_web/collection/show/3,https://ecosound-web.de/ecosound_web/collection/index/101,10.12688/f1000research.13996.2,Terrestrial,air,"",uniform habitat within 35 m,rain,""
105,EFForTS Landscape bird survey,https://ecosound-web.de/ecosound_web/collection/show/105,Kevin FA Darras,"Edho Walesa Prabowo,Irfan Fitriawan",2021-08-26,none,https://ecosound-web.de/ecosound_web/collection/index/101,none,Terrestrial,air,"",uniform habitat within 50 m,rain,""
492,EFForTS Humusindo,https://ecosound-web.de/ecosound_web/collection/show/492,"Kevin FA Darras,Arne Wenzel",Patrick Mauritz Diaz,2022-07-26,none,https://ecosound-web.de/ecosound_web/collection/index/101,10.1038/s41586-023-06086-5,Terrestrial,air,"",uniform habitat within 35 m,rain,""
494,EFForTS PTPN6,https://ecosound-web.de/ecosound_web/collection/show/494,"Kevin FA Darras,Arne Wenzel",Patrick Mauritz Diaz,2022-07-26,"https://ecosound-web.de/ecosound_web/collection/show/32
https://ecosound-web.uni-goettingen.de/ecosound_web/collection/show/29",https://ecosound-web.de/ecosound_web/collection/index/101,10.3389/ffgc.2019.00065,Terrestrial,air,"",uniform habitat within 35 m,rain,""
368,OPTmix,https://ecosound-web.de/ecosound_web/collection/show/368,Kevin Darras,Christine Cassin,2024-04-03,none,none,none,Terrestrial,air,"","",none,""
108,Asian Soundscape - Gunung Mulu National Park,https://ecosound-web.de/ecosound_web/collection/show/108,"Joe Chun-Chia Huang,Ellen Mc Arthur,Mao-Ning Tuanmuu","",2021-09-01,none,none,none,Terrestrial,air,Gunung Mulu National Park,"",none,""
109,Asian Soundscape - Kubah National Park,https://ecosound-web.de/ecosound_web/collection/show/109,"Mao-Ning Tuanmu,Joe Chun-Chia Huang,Faisal Ali Awanrali Khan","",2021-09-01,none,none,none,Terrestrial,air,Kubah National Park,"",none,""
110,Asian Soundscape - Cat Ba National Park,https://ecosound-web.de/ecosound_web/collection/show/110,"Mao-Ning Tuanmu,Joe Chun-Chia Huang,Vu Dinh Thong","",2021-09-01,none,none,none,Terrestrial,air,Cat Ba National Park,"",none,""
111,Asian Soundscape - Cat Tien National Park,https://ecosound-web.de/ecosound_web/collection/show/111,"Mao-Ning Tuanmu,Joe Chun-Chia Huang",Vy Tram Nguyen,2021-09-01,none,none,none,Terrestrial,air,Cat Tien National Park,"",none,""
